Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,20,RL,70,11200,Pave,NA,1,1,1,Inside,1,Sawyer,Norm,Norm,1,1,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,3,906,1,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0,1,1965,1,1,384,3,3,3,0,0,0,0,0,0,0,0,NA,0,2,2008,WD,Normal,129500
12,60,RL,85,11924,Pave,NA,2,1,1,Inside,1,NridgHt,Norm,Norm,1,4,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286,5,3,PConc,5,3,1,6,998,1,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4,3,2005,3,3,736,3,3,3,147,21,0,0,0,0,0,0,NA,0,7,2006,New,Partial,345000
13,20,RL,NA,12968,Pave,NA,3,1,1,Inside,1,Sawyer,Norm,Norm,1,1,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,3,3,CBlock,3,3,1,5,737,1,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0,1,1962,1,1,352,3,3,3,140,0,0,0,176,0,0,0,NA,0,9,2008,WD,Normal,144000
14,20,RL,91,10652,Pave,NA,2,1,1,Inside,1,CollgCr,Norm,Norm,1,1,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306,4,3,PConc,4,3,3,1,0,1,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4,5,2006,2,3,840,3,3,3,160,33,0,0,0,0,0,0,NA,0,8,2007,New,Partial,279500
15,20,RL,NA,10920,Pave,NA,2,1,1,Corner,1,NAmes,Norm,Norm,1,1,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212,3,3,CBlock,3,3,1,4,733,1,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2,5,1960,2,1,352,3,3,3,0,213,176,0,0,0,0,2,NA,0,5,2008,WD,Normal,157000
16,45,RM,51,6120,Pave,NA,1,1,1,Corner,1,BrkSide,Norm,Norm,1,3,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,BrkTil,3,3,1,1,0,1,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0,1,1991,1,2,576,3,3,3,48,112,0,0,0,0,0,4,NA,0,7,2007,WD,Normal,132000
17,20,RL,NA,11241,Pave,NA,2,1,1,CulDSac,1,NAmes,Norm,Norm,1,1,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,3,CBlock,3,3,1,5,578,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3,5,1970,3,2,480,3,3,3,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD,Normal,149000
18,90,RL,72,10791,Pave,NA,1,1,1,Inside,1,Sawyer,Norm,Norm,3,1,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0,2,1967,1,2,516,3,3,3,0,0,0,0,0,0,0,0,Shed,500,10,2006,WD,Normal,90000
19,20,RL,66,13695,Pave,NA,1,1,1,Inside,1,SawyerW,RRAe,Norm,1,1,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,3,3,1,6,646,1,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0,1,2004,1,2,576,3,3,3,0,102,0,0,0,0,0,0,NA,0,6,2008,WD,Normal,159000
20,20,RL,70,7560,Pave,NA,1,1,1,Inside,1,NAmes,Norm,Norm,1,1,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0,3,3,CBlock,3,3,1,2,504,1,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0,5,1958,1,1,294,3,3,3,0,0,0,0,0,0,0,3,NA,0,5,2009,COD,Abnorml,139000
21,60,RL,101,14215,Pave,NA,2,1,1,Corner,1,NridgHt,Norm,Norm,1,4,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380,4,3,PConc,5,3,3,1,0,1,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4,3,2005,2,3,853,3,3,3,240,154,0,0,0,0,0,0,NA,0,11,2006,New,Partial,325300
22,45,RM,57,7449,Pave,Grvl,1,2,1,Inside,1,IDOTRR,Norm,Norm,1,3,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,1,1,0,1,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4,5,1930,1,1,280,3,3,1,0,0,205,0,0,0,0,4,NA,0,6,2007,WD,Normal,139400
23,20,RL,75,9742,Pave,NA,1,1,1,Inside,1,CollgCr,Norm,Norm,1,1,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281,4,3,PConc,4,3,1,1,0,1,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4,5,2002,2,2,534,3,3,3,171,159,0,0,0,0,0,0,NA,0,9,2008,WD,Normal,230000
24,120,RM,44,4224,Pave,NA,1,1,1,Inside,1,MeadowV,Norm,Norm,4,1,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0,3,3,PConc,4,3,1,6,840,1,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3,5,1976,1,2,572,3,3,3,100,110,0,0,0,0,0,0,NA,0,6,2007,WD,Normal,129900
25,20,RL,NA,8246,Pave,NA,2,1,1,Inside,1,Sawyer,Norm,Norm,1,1,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0,3,4,CBlock,3,3,2,3,188,5,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3,5,1968,1,1,270,3,3,3,406,90,0,0,0,0,0,3,NA,0,5,2010,WD,Normal,154000
26,20,RL,110,14230,Pave,NA,1,1,1,Corner,1,NridgHt,Norm,Norm,1,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640,4,3,PConc,4,3,1,1,0,1,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4,5,2007,2,3,890,3,3,3,0,56,0,0,0,0,0,0,NA,0,7,2009,WD,Normal,256300
27,20,RL,60,7200,Pave,NA,1,1,1,Corner,1,NAmes,Norm,Norm,1,1,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,CBlock,3,3,2,4,234,3,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0,1,2005,1,2,576,3,3,3,222,32,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,134800
28,20,RL,98,11478,Pave,NA,1,1,1,Inside,1,NridgHt,Norm,Norm,1,1,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,4,3,PConc,5,3,1,6,1218,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4,5,2008,2,3,772,3,3,3,0,50,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,306000
29,20,RL,47,16321,Pave,NA,2,1,1,CulDSac,1,NAmes,Norm,Norm,1,1,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,4,4,1277,1,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4,5,1957,2,1,319,3,3,3,288,258,0,0,0,0,0,0,NA,0,12,2006,WD,Normal,207500
30,30,RM,60,6324,Pave,NA,2,1,1,Inside,1,BrkSide,Feedr,RRNn,1,1,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,1,0,1,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0,1,1920,1,1,240,2,3,3,49,0,87,0,0,0,0,0,NA,0,5,2008,WD,Normal,68500
31,70,C (all),50,8500,Pave,Pave,1,1,1,Inside,1,IDOTRR,Feedr,Norm,1,4,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0,3,2,BrkTil,3,3,1,1,0,1,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0,1,1920,1,1,250,3,2,1,0,54,172,0,0,0,0,3,NA,0,7,2008,WD,Normal,40000
32,20,RL,NA,8544,Pave,NA,2,1,1,CulDSac,1,Sawyer,Norm,Norm,1,1,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,1,0,1,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0,5,1966,1,1,271,3,3,3,0,65,0,0,0,0,0,3,NA,0,6,2008,WD,Normal,149350
33,20,RL,85,11049,Pave,NA,1,1,1,Corner,1,CollgCr,Norm,Norm,1,1,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,3,3,1,0,1,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0,5,2007,2,2,484,3,3,3,0,30,0,0,0,0,0,0,NA,0,1,2008,WD,Normal,179900
34,20,RL,70,10552,Pave,NA,2,1,1,Inside,1,NAmes,Norm,Norm,1,1,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0,3,3,CBlock,3,3,1,3,1018,1,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4,5,1959,2,2,447,3,3,3,0,38,0,0,0,0,0,0,NA,0,4,2010,WD,Normal,165500
35,120,RL,60,7313,Pave,NA,1,1,1,Inside,1,NridgHt,Norm,Norm,4,1,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246,5,3,PConc,5,3,1,6,1153,1,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4,5,2005,3,2,556,3,3,3,203,47,0,0,0,0,0,0,NA,0,8,2007,WD,Normal,277500
36,60,RL,108,13418,Pave,NA,1,1,1,Inside,1,NridgHt,Norm,Norm,1,4,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132,4,3,PConc,5,3,3,1,0,1,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4,3,2004,3,3,691,3,3,3,113,32,0,0,0,0,0,0,NA,0,9,2006,WD,Normal,309000
37,20,RL,112,10859,Pave,NA,1,1,1,Corner,1,CollgCr,Norm,Norm,1,1,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,1,1,0,1,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0,5,1995,1,2,672,3,3,3,392,64,0,0,0,0,0,0,NA,0,6,2009,WD,Normal,145000
38,20,RL,74,8532,Pave,NA,1,1,1,Inside,1,NAmes,Norm,Norm,1,1,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650,3,3,CBlock,3,3,1,3,1213,1,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3,5,1954,3,2,498,3,3,3,0,0,0,0,0,0,0,0,NA,0,10,2009,WD,Normal,153000
39,20,RL,68,7922,Pave,NA,1,1,1,Inside,1,NAmes,Norm,Norm,1,1,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,1,6,731,1,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0,1,1953,1,1,246,3,3,3,0,52,0,0,0,0,0,0,NA,0,1,2010,WD,Abnorml,109000
40,90,RL,65,6040,Pave,NA,1,1,1,Inside,1,Edwards,Norm,Norm,3,1,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0,3,3,PConc,0,0,0,0,0,0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,6,2008,WD,AdjLand,82000
41,20,RL,84,8658,Pave,NA,1,1,1,Inside,1,NAmes,Norm,Norm,1,1,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101,3,3,CBlock,3,3,1,3,643,1,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3,5,1965,2,2,440,3,3,3,0,138,0,0,0,0,0,2,NA,0,12,2006,WD,Abnorml,160000
42,20,RL,115,16905,Pave,NA,1,1,1,Inside,1,Timber,Norm,Norm,1,1,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0,3,4,CBlock,3,3,4,4,967,1,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4,5,1959,2,1,308,3,3,2,0,104,0,0,0,0,0,0,NA,0,7,2007,WD,Normal,170000
43,85,RL,NA,9180,Pave,NA,2,1,1,CulDSac,1,SawyerW,Norm,Norm,1,7,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,4,3,3,5,747,2,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0,5,1983,2,2,504,3,4,3,240,0,0,0,0,0,0,3,NA,0,12,2007,WD,Normal,144000
44,20,RL,NA,9200,Pave,NA,2,1,1,CulDSac,1,CollgCr,Norm,Norm,1,1,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0,3,3,CBlock,4,3,3,2,280,4,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0,1,1977,1,1,308,3,3,3,145,0,0,0,0,0,0,3,NA,0,7,2008,WD,Normal,130250
45,20,RL,70,7945,Pave,NA,1,1,1,Inside,1,NAmes,Norm,Norm,1,1,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0,3,3,CBlock,3,3,1,5,179,4,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0,5,1959,2,1,300,3,3,3,0,0,0,0,0,0,0,0,NA,0,5,2006,WD,Normal,141000
46,120,RL,61,7658,Pave,NA,1,1,1,Inside,1,NridgHt,Norm,Norm,4,1,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412,5,3,PConc,5,3,1,6,456,1,0,1296,1752,GasA,5,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,8,1,4,5,2005,2,2,576,3,3,3,196,82,0,0,0,0,0,0,NA,0,2,2010,WD,Normal,319900
47,50,RL,48,12822,Pave,NA,2,1,1,CulDSac,1,Mitchel,Norm,Norm,1,2,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,5,3,1,6,1351,1,0,83,1434,GasA,5,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,8,1,5,5,2003,2,2,670,3,3,3,168,43,0,0,198,0,0,0,NA,0,8,2009,WD,Abnorml,239686
48,20,FV,84,11096,Pave,NA,1,1,1,Inside,1,Somerst,Norm,Norm,1,1,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,3,6,24,1,0,1632,1656,GasA,5,Y,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,8,0,0,5,2006,2,3,826,3,3,3,0,146,0,0,0,0,0,0,NA,0,7,2007,WD,Normal,249700
49,190,RM,33,4456,Pave,NA,1,1,1,Inside,1,OldTown,Norm,Norm,2,4,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,BrkTil,3,3,1,1,0,1,0,736,736,GasA,4,Y,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,8,0,0,0,NA,0,0,0,0,0,1,0,0,102,0,0,0,0,0,NA,0,6,2009,New,Partial,113000
50,20,RL,66,7742,Pave,NA,1,1,1,Inside,1,Sawyer,Norm,Norm,1,1,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,1,4,763,1,0,192,955,GasA,5,Y,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,8,0,0,5,1966,1,1,386,3,3,3,0,0,0,0,0,0,0,3,NA,0,1,2007,WD,Normal,127000
51,60,RL,NA,13869,Pave,NA,3,1,1,Corner,1,Gilbert,Norm,Norm,1,4,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,3,3,PConc,4,3,3,6,182,1,0,612,794,GasA,4,Y,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,8,0,0,5,1997,3,2,388,3,3,3,0,75,0,0,0,0,0,0,NA,0,7,2007,WD,Normal,177000
52,50,RM,52,6240,Pave,NA,1,1,1,Inside,1,BrkSide,Norm,Norm,1,2,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,3,3,PConc,3,3,1,1,0,1,0,816,816,GasA,3,Y,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,8,1,4,1,1985,1,2,528,3,3,3,112,0,0,0,0,0,0,3,Shed,400,9,2006,WD,Normal,114500
53,90,RM,110,8472,Grvl,NA,3,2,1,Corner,2,IDOTRR,RRNn,Norm,3,1,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,2,3,CBlock,4,3,4,2,104,6,712,0,816,GasA,3,N,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,8,0,0,2,1963,1,2,516,3,3,3,106,0,0,0,0,0,0,0,NA,0,5,2010,WD,Normal,110000
54,20,RL,68,50271,Pave,NA,2,4,1,Inside,1,Veenker,Norm,Norm,1,1,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,0,4,3,CBlock,5,3,4,6,1810,1,0,32,1842,GasA,4,Y,SBrkr,1842,0,0,1842,2,0,0,1,0,1,4,5,8,1,4,5,1981,3,3,894,3,3,3,857,72,0,0,0,0,0,0,NA,0,11,2006,WD,Normal,385000
55,80,RL,60,7134,Pave,NA,1,2,1,Inside,2,NAmes,Norm,Norm,1,8,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,0,3,3,CBlock,3,3,1,5,384,1,0,0,384,GasA,3,Y,SBrkr,1360,0,0,1360,0,0,1,0,3,1,3,6,7,1,3,1,1962,1,2,572,3,3,3,0,50,0,0,0,0,0,3,NA,0,2,2007,WD,Normal,130000
56,20,RL,100,10175,Pave,NA,2,1,1,Inside,1,NAmes,Norm,Norm,1,1,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272,3,3,CBlock,3,3,1,4,490,1,0,935,1425,GasA,4,Y,SBrkr,1425,0,0,1425,0,0,2,0,3,1,3,7,8,1,4,5,1964,2,2,576,3,3,3,0,0,0,407,0,0,0,0,NA,0,7,2008,WD,Normal,180500
57,160,FV,24,2645,Pave,Pave,1,1,1,Inside,1,Somerst,Norm,Norm,5,4,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456,4,3,PConc,4,3,1,6,649,1,0,321,970,GasA,5,Y,SBrkr,983,756,0,1739,1,0,2,1,3,1,4,7,8,0,0,5,1999,3,2,480,3,3,3,115,0,0,0,0,0,0,0,NA,0,8,2009,WD,Abnorml,172500
58,60,RL,89,11645,Pave,NA,2,1,1,Corner,1,CollgCr,Norm,Norm,1,4,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,4,3,PConc,4,3,1,1,0,1,0,860,860,GasA,5,Y,SBrkr,860,860,0,1720,0,0,2,1,3,1,4,7,8,0,0,5,2004,2,2,565,3,3,3,0,70,0,0,0,0,0,0,NA,0,8,2006,WD,Normal,196500
59,60,RL,66,13682,Pave,NA,3,3,1,CulDSac,1,StoneBr,Norm,Norm,1,4,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031,5,3,PConc,5,3,4,1,0,1,0,1410,1410,GasA,5,Y,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,4,10,8,1,4,3,2006,3,3,641,3,3,3,192,0,37,0,0,0,0,0,NA,0,10,2006,New,Partial,438780
60,20,RL,60,7200,Pave,NA,1,2,1,Inside,1,CollgCr,Norm,Norm,1,1,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,0,3,3,CBlock,3,3,3,5,632,1,0,148,780,GasA,5,Y,SBrkr,780,0,0,780,0,0,1,0,2,1,3,4,8,0,0,1,1973,1,1,352,3,3,3,196,0,0,0,0,0,0,3,NA,0,1,2008,WD,Normal,124900
